cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
CB3029,10,-0.0,0.9593568484625103,0.37933484650149535,-2.529050144774212,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SIP047b,10,-0.0,0.9691921460843778,0.38299465162025353,-2.5305631344569015,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB1114,10,-0.0,0.9845134394775772,0.3889978671304895,-2.5308967546275047,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB0997,10,-0.0,0.9807810841048592,0.3872608920882975,-2.5326107131965085,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
SIP055,10,-0.0,0.9828450335690269,0.3874813055237021,-2.5364966504400988,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
CB2744,10,-0.0,0.9730410197769963,0.3834493271933434,-2.5376000184931033,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
ER3a_b,11,-0.0,0.9871699829214662,0.3886094697571064,-2.540262293501184,1.0,1.0,GABA,1.0,1,"{""GABA"": 11}"
SMP282,10,-0.0,0.9838062654208687,0.3864385126865523,-2.5458287233882735,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
CL328,11,-0.0,0.973385415569091,0.38188485646598525,-2.548897656159851,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
LAL096,10,-0.0,0.9788507872139773,0.383978880489198,-2.5492307961492537,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 10}"
WEDPN1A,10,-0.0,0.9893612033940129,0.3880813838305064,-2.549365273924384,1.0,1.0,GABA,1.0,1,"{""GABA"": 10}"
PLP048,11,-0.0,0.9817908371109564,0.38505276554949874,-2.549756617667369,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 11}"
AN_IPS_GNG_6,11,-0.0,0.9920588165484859,0.3887937744621139,-2.5516324635623953,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
LB3,84,0.8142271109873961,1.170374108088717,0.13935673835535173,-2.5556496320484072,0.996003996003996,1.0,ACH,0.8333333333333334,3,"{""ACH"": 70, ""SER"": 8, ""GLUT"": 6}"
PAM14,10,-0.0,0.9881589423100616,0.3864978253529598,-2.556699876403313,1.0,1.0,DA,1.0,1,"{""DA"": 10}"
LHAV5a2_a2,10,-0.0,0.980759393976623,0.3832930859122734,-2.5587714206801406,1.0,1.0,ACH,1.0,1,"{""ACH"": 10}"
LHAD1b5,11,-0.0,0.980160359895737,0.38301605072240086,-2.559058185804671,1.0,1.0,ACH,1.0,1,"{""ACH"": 11}"
