cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
LC10c,200,2,0.0454146923337941,ACH,0.995,"{'ACH': np.int64(199), 'GLUT': np.int64(1)}"
C3,1502,3,0.040176585885549315,GABA,0.996005326231691,"{'GABA': np.int64(1496), 'ACH': np.int64(5), 'GLUT': np.int64(1)}"
LC10a,232,2,0.04007569957968721,ACH,0.9956896551724138,"{'ACH': np.int64(231), 'GLUT': np.int64(1)}"
Pm01,239,2,0.03908175497953278,GABA,0.99581589958159,"{'GABA': np.int64(238), 'ACH': np.int64(1)}"
MeTu1,242,2,0.038671790863764946,ACH,0.9958677685950413,"{'ACH': np.int64(241), 'GABA': np.int64(1)}"
T4b,1427,3,0.030079099917705986,ACH,0.9971969166082691,"{'ACH': np.int64(1423), 'GABA': np.int64(3), 'GLUT': np.int64(1)}"
L3,1379,3,0.024373889831538886,ACH,0.9978245105148659,"{'ACH': np.int64(1376), 'GABA': np.int64(2), 'GLUT': np.int64(1)}"
T5b,1414,3,0.02384737607195917,ACH,0.9978783592644979,"{'ACH': np.int64(1411), 'GABA': np.int64(2), 'GLUT': np.int64(1)}"
TmY4,430,2,0.023695834967820677,ACH,0.9976744186046511,"{'ACH': np.int64(429), 'GABA': np.int64(1)}"
Tm20,1459,3,0.02320488338786912,ACH,0.997943797121316,"{'ACH': np.int64(1456), 'GABA': np.int64(2), 'GLUT': np.int64(1)}"
TmY10,446,2,0.022964072555005984,ACH,0.9977578475336323,"{'ACH': np.int64(445), 'GLUT': np.int64(1)}"
Mi1,1487,2,0.020970676230336868,ACH,0.9979825151311366,"{'ACH': np.int64(1484), 'GLUT': np.int64(3)}"
Tm27,1102,3,0.020956975673495064,ACH,0.9981851179673321,"{'ACH': np.int64(1100), 'GABA': np.int64(1), 'GLUT': np.int64(1)}"
Tm25,715,2,0.015277601572357066,ACH,0.9986013986013986,"{'ACH': np.int64(714), 'GLUT': np.int64(1)}"
TmY3,726,2,0.015076483100206293,ACH,0.9986225895316805,"{'ACH': np.int64(725), 'GLUT': np.int64(1)}"
Tm9,1518,2,0.014505534000858198,ACH,0.9986824769433466,"{'ACH': np.int64(1516), 'GABA': np.int64(2)}"
Mi4,1526,2,0.014439434423113212,GABA,0.9986893840104849,"{'GABA': np.int64(1524), 'ACH': np.int64(2)}"
Tm21,1272,2,0.00924136065282799,ACH,0.9992138364779874,"{'ACH': np.int64(1271), 'GABA': np.int64(1)}"
PAM12,23,1,-0.0,DA,1.0,{'DA': np.int64(23)}
LC10b,83,1,-0.0,ACH,1.0,{'ACH': np.int64(83)}
LC27,37,1,-0.0,ACH,1.0,{'ACH': np.int64(37)}
PEG,20,1,-0.0,ACH,1.0,{'ACH': np.int64(20)}
LC28a,96,1,-0.0,ACH,1.0,{'ACH': np.int64(96)}
ORN_DC2,20,1,-0.0,ACH,1.0,{'ACH': np.int64(20)}
LC29,43,1,-0.0,ACH,1.0,{'ACH': np.int64(43)}
LC22,89,1,-0.0,ACH,1.0,{'ACH': np.int64(89)}
Sm08,163,1,-0.0,GABA,1.0,{'GABA': np.int64(163)}
ORN_D,31,1,-0.0,ACH,1.0,{'ACH': np.int64(31)}
Sm13,39,1,-0.0,GABA,1.0,{'GABA': np.int64(39)}
Sm16,68,1,-0.0,GABA,1.0,{'GABA': np.int64(68)}
PAM08,43,1,-0.0,DA,1.0,{'DA': np.int64(43)}
LC20a,37,1,-0.0,ACH,1.0,{'ACH': np.int64(37)}
Sm18,39,1,-0.0,GABA,1.0,{'GABA': np.int64(39)}
Sm20,59,1,-0.0,ACH,1.0,{'ACH': np.int64(59)}
LC14b,38,1,-0.0,ACH,1.0,{'ACH': np.int64(38)}
Mi10,405,1,-0.0,ACH,1.0,{'ACH': np.int64(405)}
LPLC4,110,1,-0.0,ACH,1.0,{'ACH': np.int64(110)}
LC18,188,1,-0.0,ACH,1.0,{'ACH': np.int64(188)}
LC15,104,1,-0.0,ACH,1.0,{'ACH': np.int64(104)}
LC17,201,1,-0.0,ACH,1.0,{'ACH': np.int64(201)}
LC21,130,1,-0.0,ACH,1.0,{'ACH': np.int64(130)}
PS008,24,1,-0.0,GLUT,1.0,{'GLUT': np.int64(24)}
PVLP004,29,1,-0.0,GLUT,1.0,{'GLUT': np.int64(29)}
PVLP008,29,1,-0.0,GLUT,1.0,{'GLUT': np.int64(29)}
SMP018,21,1,-0.0,ACH,1.0,{'ACH': np.int64(21)}
SA_DLV,23,1,-0.0,ACH,1.0,{'ACH': np.int64(23)}
PVLP133,25,1,-0.0,ACH,1.0,{'ACH': np.int64(25)}
Pm11,33,1,-0.0,GABA,1.0,{'GABA': np.int64(33)}
Pm02,178,1,-0.0,GABA,1.0,{'GABA': np.int64(178)}
Pm10,46,1,-0.0,GABA,1.0,{'GABA': np.int64(46)}
Pm08,117,1,-0.0,GABA,1.0,{'GABA': np.int64(117)}
