cell_type,n_neurons,entropy,mean_null_entropy,std_null_entropy,z_score,p_value,q_value,dominant_nt,dominant_frac,n_nt_types,nt_distribution
FS4B,25,-0.0,1.0919936060199835,0.24101728109382856,-4.530768918577536,1.0,1.0,ACH,1.0,1,"{""ACH"": 25}"
hDeltaK,26,-0.0,1.0858045173974646,0.23802043030183387,-4.561812261327968,1.0,1.0,SER,1.0,1,"{""SER"": 26}"
PAM01,28,-0.0,1.087784779396533,0.23812751464947834,-4.568076817992842,1.0,1.0,DA,1.0,1,"{""DA"": 28}"
ER1,27,-0.0,1.078863278900289,0.23506048202777288,-4.589726310408991,1.0,1.0,GABA,1.0,1,"{""GABA"": 27}"
LHPV5c1,29,-0.0,1.0833828751635872,0.23557384860453592,-4.598909775347309,1.0,1.0,ACH,1.0,1,"{""ACH"": 29}"
LT52,29,-0.0,1.0899796089251708,0.2342483641746355,-4.653093791137749,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 29}"
ORN_VL2p,27,-0.0,1.1021363489918672,0.2334287860381524,-4.72151000610409,1.0,1.0,ACH,1.0,1,"{""ACH"": 27}"
vDeltaL,41,0.1654270339962668,1.1093575164908664,0.1995954925143558,-4.729217431734877,1.0,1.0,ACH,0.975609756097561,2,"{""ACH"": 40, ""SER"": 1}"
LC33,29,-0.0,1.0935939833016928,0.23047906196443127,-4.744873456099287,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 29}"
Li15,32,-0.0,1.0873495702665912,0.22686194920419825,-4.793001091989511,1.0,1.0,GABA,1.0,1,"{""GABA"": 32}"
PVLP008,29,-0.0,1.1052305804407856,0.22831261126304767,-4.840865225650664,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 29}"
ORN_DM4,29,-0.0,1.0951617812093315,0.22577057875479478,-4.850772794442656,1.0,1.0,ACH,1.0,1,"{""ACH"": 29}"
HRN_VP4,29,-0.0,1.1038073855865536,0.22745546336173852,-4.852850616435141,1.0,1.0,ACH,1.0,1,"{""ACH"": 29}"
LC14a1,30,-0.0,1.098002995098403,0.22620318765913866,-4.85405624235925,1.0,1.0,ACH,1.0,1,"{""ACH"": 30}"
ORN_VC3,31,-0.0,1.11381012203565,0.22783632468310383,-4.8886415438137085,1.0,1.0,ACH,1.0,1,"{""ACH"": 31}"
ORN_DM3,41,0.1654270339962668,1.1160519352600875,0.19392044474925735,-4.90213861923118,1.0,1.0,SER,0.975609756097561,2,"{""SER"": 40, ""ACH"": 1}"
ORN_DP1m,32,-0.0,1.0967154469035556,0.2237215136394439,-4.902145658959979,1.0,1.0,ACH,1.0,1,"{""ACH"": 32}"
PVLP004,29,-0.0,1.1034042192285392,0.2249172481273494,-4.905823045655376,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 29}"
FS3,51,0.27790019762551116,1.1358253408485541,0.17475533690501027,-4.909292948743393,1.0,1.0,ACH,0.9607843137254902,3,"{""ACH"": 49, ""SER"": 1, ""GLUT"": 1}"
FC1D,29,-0.0,1.101989240536587,0.2242957618243515,-4.913107726928728,1.0,1.0,ACH,1.0,1,"{""ACH"": 29}"
ORN_VA4,31,-0.0,1.0906524434409466,0.2213489993180328,-4.927297827418249,1.0,1.0,ACH,1.0,1,"{""ACH"": 31}"
FS2,33,-0.0,1.1068239282026866,0.22383948833466488,-4.944721489658973,1.0,1.0,ACH,1.0,1,"{""ACH"": 33}"
ORN_D,31,-0.0,1.0953020288386148,0.22070069620173624,-4.962839029005284,1.0,1.0,ACH,1.0,1,"{""ACH"": 31}"
ORN_VA3,29,-0.0,1.10531132525192,0.22102396546554884,-5.00086641248958,1.0,1.0,ACH,1.0,1,"{""ACH"": 29}"
LC20b,45,0.15374218032876188,1.1195794508132184,0.1928749893553459,-5.007581717632829,1.0,1.0,GLUT,0.9777777777777777,2,"{""GLUT"": 44, ""ACH"": 1}"
ORN_DC3,32,-0.0,1.0916802080939434,0.21788656395696468,-5.010314487815614,1.0,1.0,ACH,1.0,1,"{""ACH"": 32}"
s-CPDN3C,32,-0.0,1.1048782794992251,0.2186228844465904,-5.053808901552331,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 32}"
AN_GNG_165,33,-0.0,1.0958062312403356,0.2165748085946109,-5.059712338434927,1.0,1.0,ACH,1.0,1,"{""ACH"": 33}"
Li18,32,-0.0,1.0982321905895234,0.21644563314314602,-5.073940160590854,1.0,1.0,GABA,1.0,1,"{""GABA"": 32}"
FC1A,36,-0.0,1.090643319065181,0.21466513714887794,-5.080672779710759,1.0,1.0,ACH,1.0,1,"{""ACH"": 36}"
IbSpsP,30,-0.0,1.093087703499676,0.2139850795798629,-5.1082426197463775,1.0,1.0,ACH,1.0,1,"{""ACH"": 30}"
MeTu4d,33,-0.0,1.1032852161705844,0.21592470555255136,-5.1095830527927655,1.0,1.0,ACH,1.0,1,"{""ACH"": 33}"
PAM06,30,-0.0,1.0904745702416274,0.21262142270340192,-5.128714484065862,1.0,1.0,DA,1.0,1,"{""DA"": 30}"
Mi2,563,0.8991204715122233,1.1723021206035145,0.053138997650077395,-5.1408882585667905,1.0,1.0,GLUT,0.7229129662522202,3,"{""GLUT"": 407, ""GABA"": 152, ""ACH"": 4}"
LC24,73,0.409855370318405,1.146476007864088,0.1427202756581799,-5.161289341326074,1.0,1.0,ACH,0.9178082191780822,2,"{""ACH"": 67, ""GLUT"": 6}"
ORN_VM7d,33,-0.0,1.1044588114606315,0.21324699752626392,-5.179246715183431,1.0,1.0,ACH,1.0,1,"{""ACH"": 33}"
LMt3,33,-0.0,1.1034081783068803,0.21298313560059687,-5.180730273293,1.0,1.0,GLUT,1.0,1,"{""GLUT"": 33}"
LC36,35,-0.0,1.099568443158802,0.2119434353194726,-5.188027841019795,1.0,1.0,ACH,1.0,1,"{""ACH"": 35}"
Pm11,33,-0.0,1.1004872438549542,0.21093502761538127,-5.217185861902375,1.0,1.0,GABA,1.0,1,"{""GABA"": 33}"
JO-EDM,37,-0.0,1.109683811012484,0.210587607465459,-5.269463974486232,1.0,1.0,ACH,1.0,1,"{""ACH"": 37}"
LC14b,38,-0.0,1.1138151951219906,0.21098471399168559,-5.279127449801332,1.0,1.0,ACH,1.0,1,"{""ACH"": 38}"
LC27,37,-0.0,1.1034441603862857,0.20826171076336134,-5.298353481980569,1.0,1.0,ACH,1.0,1,"{""ACH"": 37}"
Li16,36,-0.0,1.1126012330922728,0.2081355855999569,-5.345559866109235,1.0,1.0,GABA,1.0,1,"{""GABA"": 36}"
