cell_type,n_neurons,n_nt_types,entropy,dominant_nt,dominant_frac,nt_distribution
ORN_D,31,1,-0.0,ACH,1.0,"{""ACH"": 31}"
ORN_DC2,20,1,-0.0,ACH,1.0,"{""ACH"": 20}"
ORN_DC3,32,1,-0.0,ACH,1.0,"{""ACH"": 32}"
MeTu4c,93,1,-0.0,ACH,1.0,"{""ACH"": 93}"
ORN_VA6,60,1,-0.0,ACH,1.0,"{""ACH"": 60}"
PAM04,23,1,-0.0,DA,1.0,"{""DA"": 23}"
PAM02,13,1,-0.0,DA,1.0,"{""DA"": 13}"
ORN_VA7l,13,1,-0.0,ACH,1.0,"{""ACH"": 13}"
PAM01,28,1,-0.0,DA,1.0,"{""DA"": 28}"
ORN_VM7v,26,1,-0.0,ACH,1.0,"{""ACH"": 26}"
ORN_VM7d,33,1,-0.0,ACH,1.0,"{""ACH"": 33}"
ORN_VM6v,26,1,-0.0,ACH,1.0,"{""ACH"": 26}"
ORN_VM6l,17,1,-0.0,ACH,1.0,"{""ACH"": 17}"
PS096,11,1,-0.0,GABA,1.0,"{""GABA"": 11}"
ORN_VM5v,23,1,-0.0,ACH,1.0,"{""ACH"": 23}"
ORN_VC1,26,1,-0.0,ACH,1.0,"{""ACH"": 26}"
ORN_VC3,31,1,-0.0,ACH,1.0,"{""ACH"": 31}"
ORN_VC4,23,1,-0.0,ACH,1.0,"{""ACH"": 23}"
ORN_VC5,25,1,-0.0,ACH,1.0,"{""ACH"": 25}"
PS209,10,1,-0.0,ACH,1.0,"{""ACH"": 10}"
ORN_VL2a,71,1,-0.0,ACH,1.0,"{""ACH"": 71}"
ORN_VL2p,27,1,-0.0,ACH,1.0,"{""ACH"": 27}"
ORN_VM1,25,1,-0.0,ACH,1.0,"{""ACH"": 25}"
ORN_VA7m,21,1,-0.0,ACH,1.0,"{""ACH"": 21}"
ORN_DM4,29,1,-0.0,ACH,1.0,"{""ACH"": 29}"
ORN_DM6,44,1,-0.0,ACH,1.0,"{""ACH"": 44}"
ORN_DP1l,24,1,-0.0,ACH,1.0,"{""ACH"": 24}"
PFL1,14,1,-0.0,ACH,1.0,"{""ACH"": 14}"
ORN_DP1m,32,1,-0.0,ACH,1.0,"{""ACH"": 32}"
PEN_b/PEN2,20,1,-0.0,ACH,1.0,"{""ACH"": 20}"
PEN_a/PEN1,20,1,-0.0,ACH,1.0,"{""ACH"": 20}"
PEG,20,1,-0.0,ACH,1.0,"{""ACH"": 20}"
PDt,11,1,-0.0,DA,1.0,"{""DA"": 11}"
ORN_VA5,12,1,-0.0,ACH,1.0,"{""ACH"": 12}"
